Title,Description,Department,Program,Contact Email,Homepage URL,Temporal Coverage,Spatial/Geographic Coverage,Geographic Granularity,Language,Frequency,De-Identification Method,Source Link,Data Collection Tool,License,Limitations,Additional Limitations,Additional Information,Related Resources,Secondary Sources,Citation,Created,Last Updated,Topic,Tags,Dataset URL,Dataset ID
"Child Health and Disability Prevention (CHDP), Children Served and Amounts Paid By Age, SFY 2008-14","The Child Health and Disability Prevention (CHDP) annual report for state fiscal year (SFY) 2008-12 provides an aggregate level data drawn from the Confidential Screening/Billing Report (PM-160) form used for fee-for-service (FFS) reimbursement of services, and/or for reporting preventive health assessment services.  The display of the data in this report is intended to provide a detailed view of the health assessments provided to CHDP eligible children and youth as reported to the California Department of Health Care Services (DHCS) during SFY 2008-12.  CHDP eligible children and youth are those whose gross family incomes are at or below 200 percent of the federal poverty level, age restriction for full-scope Medi-Cal of less than 21 years of age, presumptive eligibility (the Gateway process), or children and youth with no health insurance for health assessments who must be less than 19 years of age.  CHDP children and youth receive health assessment services according to the age-based CHDP Periodicity Schedule or when assessments are considered medically necessary.",Department of Health Care Services,Child Health and Disability Prevention (CHDP) Program,opendata@dhcs.ca.gov ,http://www.dhcs.ca.gov/services/chdp/Pages/default.aspx  ,State Fiscal Year 2008-14,Statewide ,county,English (EN),annually,,http://www.dhcs.ca.gov/services/chdp/Pages/default.aspx,http://www.dhcs.ca.gov/services/chdp/Pages/CHDPPLPIN.aspx,Terms of Use,Limitations,,,,,Department of Health Care Services (DHCS) Child Health Disability Prevention (CHDP) Health Assessment Data for Fiscal Year 2008-12 ,2017-06-16T22:26:17.582546,2020-05-28T20:50:00.703341,Healthcare,,https://data.chhs.ca.gov/dataset/child-health-disability-prevention-chdp-children-served-and-amounts-paid-by-age-sfy-2008-14,child-health-disability-prevention-chdp-children-served-and-amounts-paid-by-age-sfy-2008-14
Clostridium difficile infections (CDI) in Healthcare,"This dataset shows the Center for Disease Control and Prevention National Healthcare Safety Network (NHSN) of hospital onset (HO) Clostridium difficile infections (CDI) reported by California general acute care, long-term acute care and rehabilitation acute care hospitals. CDI cases are classified as HO when the positive stool sample is obtained on day four or later during the hospital stay. Risk factors found to be significant in predicting HO CDI incidence include the type of CDI test used by the hospital, if the hospital is affiliated with a medical school, hospital bed size, and the burden of community-onset CDI in patients admitted to the hospital.

Facility Types: 1) Acute Care Hospitals: Critical access acute care hospital (CAH; defined as certain facilities that participate in Medicare and that are designated by states through a protocol) 
2) Rehabilitation (REHABs) acute hospitals are hospitals with inpatient wards for evaluation and restoration of function to patients who have lost function due to acute or chronic pain, musculoskeletal problems, stroke, or catastrophic events resulting in complete or partial paralysis. These hospitals were self-identified through National Healthcare Safety Network (NHSN). 
3) Long-term acute care hospitals (LTACs) are defined by the Centers for Medicare and Medicaid Services as providing care to patients with medically complex conditions requiring an average length of stay greater than 25 days.

General Acute Care Hospitals Methods: The HO CDI standardized infection ratios SIR, which adjusts for significant risk factors, is calculated by comparing the number of CDI that occurred (or were observed) in the hospital to the number that would be predicted based on the national referent CDI rate data. Adjusting for these factors provides for a more accurate comparison of hospitals’ infections. Hospitals with NHSN-predicted number of HO CDI cases <1 had no SIRs calculated by NHSN. A SIR was calculated by CDPH if the predicted number of infections was =0.2. The SIR and its comparison are not as accurate as SIRs based on a larger number of predicted infections. For each hospital with a CDI SIR, we performed a statistical analysis to determine if the observed number of infections was significantly different than the predicted number. Based on our statistical analysis we labeled each hospital’s CDI SIR as indicating: 

•	No Difference - no difference in number of observed and predicted infections, 

•	Higher - higher or more infections than predicted, or 

•	Lower - lower or fewer infections than predicted.

The SIRs cannot be compared across hospitals because of ""indirect"" standardization methodology used in calculating the SIRs.

REHABs and LTACs Methods: The REHAB and LTAC hospital onset (HO) CDI rate is calculated by dividing the number of HO CDI cases by the total inpatient days; the rate is then reported per 10,000 patient days. The rates are not risk adjusted and may reflect factors in the hospital that can affect the occurrence of CDI, such as transmission of the C. difficile bacteria and use of antimicrobials. Differences in rates for hospitals can result from differences in laboratory testing methodology, patient populations, infection and transmission prevention practices, antibiotic utilization, and/or community onset rates of CDI. HO CDI rate in LTAC hospitals is provided separately from the rates in REHABs. Patients in LTAC hospitals have longer lengths of stay, an established risk factor for CDI. Also, specifically for LTAC and REHABs, we include whether a hospital uses the polymerase chain reaction test (PCR) to detect CDI. In this table, hospital rates of CDI for LTAC hospitals have not been adjusted to account for the differences in sensitivity between PCR and other laboratory testing methods; therefore, rates from hospitals using different types of laboratory tests are not comparable.

To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk.

Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report to the California Department of Public Health (CDPH) all cases of CDI identified in their facilities. The data are submitted by California hospitals to the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). For more information on data collection processes and methods, please see the ""CDI Technical Notes"" of the healthcare-associated infections (HAI) report at: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx  
",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit ,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English (EN),annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx ,, National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/  ,Terms of Use,Limitations,,,,,"Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health].",,,"Diseases and Conditions,Facilities and Services,Healthcare","CDI,bacterial,clostridium difficile,cross infection,epidemiology,hai,healthcare,healthcare acquired infections,hospital,nosocomial infections,surveillance",https://data.chhs.ca.gov/dataset/clostridium-difficile-infections-cdi-in-healthcare,clostridium-difficile-infections-cdi-in-healthcare
Community Care Licensing - 24 Hour Residential Care for Children Facility Locations,"This dataset contains a partial list of Children's Residential facility locations (710 Small Family Home, 720 Crisis Nursery, 722 Temporary Shelter Care Facility, 724 Transitional Care Facility for Children, 726 Transitional Housing Placement Program).",California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccld.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:45.661468,2020-02-03T22:29:52.382276,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-24-hour-residential-care-for-children-facility-locations,community-care-licensing-24-hour-residential-care-for-children-facility-locations
Community Care Licensing - Adult Residential Facility Locations,"This dataset contains the location of Adult Residential Facilities (734 Adult Residential Facility for Persons with Special Health Care Needs, 735 Adult Residential, 736 Residential Facility for the Chronically Ill, 772 Social Rehabilitation Facility, and 775 Adult Day Program).",California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccld.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:42.349519,2020-02-03T22:29:12.882787,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-adult-residential-facility-locations,community-care-licensing-adult-residential-facility-locations
Community Care Licensing - Child Care Center Locations,"This dataset contains a partial list of Child Care facility locations (830 Infant Center. 840 School Age Day Care Center/School Age CC Center, 845 Day Care Center - Ill Center/ CC Center -Ill, 850 Day Care Center/ Child Care Center).",California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccld.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:37.664785,2020-02-03T22:28:08.468873,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-child-care-center-locations,community-care-licensing-child-care-center-locations
Community Care Licensing - Child Care Home (More Than 8 Children) Locations,This dataset contains a  partial list of Child Care Facility locations  (810 Family Day Care Home).  This data only includes information on Family Day Care Homes with a capacity of more than 8.,California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccld.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:29.906877,2020-02-03T22:27:12.934918,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-child-care-home-more-than-8-children-locations,community-care-licensing-child-care-home-more-than-8-children-locations
Community Care Licensing - Foster Family Agency Locations,"This dataset contains a partial list of Children's Residential facilities (400 Adoption Agency, 430 Foster Family Agency, and 431 Foster Family Sub-Agency)",California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccld.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:34.658699,2020-02-03T22:26:26.192573,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-foster-family-agency-locations,community-care-licensing-foster-family-agency-locations
Community Care Licensing - Residential Elder Care Facility Locations,This dataset contains a list of Residential Elder Care facilities (740 Residential Care Elderly and 741 Residential Care for the Elderly (RCFE) - Continuing Care Retirement Community).,California Department of Social Services,California Department of Social Services (CDSS),opendata@dss.ca.gov,http://ccl.ca.gov/,Feb-20,State of California,other,English (EN),other,,http://ccld.ca.gov/,,Terms of Use,Limitations,,,,,,2017-06-16T22:33:45.719964,2020-02-03T22:25:45.679926,Facilities and Services,,https://data.chhs.ca.gov/dataset/community-care-licensing-residential-elder-care-facility-locations,community-care-licensing-residential-elder-care-facility-locations
DDS Consumers Served by Age Group and Gender,Department of Developmental Services (DDS) consumer population by age and gender from January 2015 to present. Consumer population restricted to Early Start (status 1)  and the developmentally disabled (DD) population at the Regional Centers (status 2).   Population information reported to DDS by the Regional Centers.,Department of Developmental Services,California Department of Developmental Services,jim.switzgable@dds.ca.gov; datax@dds.ca.gov,http://www.dds.ca.gov/FactsStats/,First Day of Fiscal Year ,California,statewide,English (EN),annually,,http://www.dds.ca.gov/FactsStats/,SAS,Terms of Use,Limitations,,,www.dds.ca.gov,,,2017-06-16T22:22:38.891912,2019-12-30T21:50:44.239369,Diseases and Conditions,,https://data.chhs.ca.gov/dataset/consumers-served-by-age-group-and-gender,consumers-served-by-age-group-and-gender
DDS Consumers Served by Age Group and Residence Type,Living arrangement by age group for the Department of Development Services (DDS) population.  Information is reported by the Regional Centers to the DDS and is extracted from the Client Master File (CMF). The Client Master File (CMF) is the primary source of demographic information on individuals receiving services funded by DDS.,Department of Developmental Services,California Department of Developmental Services,jim.switzgable@dds.ca.gov; datax@dds.ca.gov,http://www.dds.ca.gov/FactsStats/,January 2015 to present,California,statewide,English (EN),monthly,,http://www.dds.ca.gov/FactsStats/,SAS,Terms of Use,Limitations,,,www.dds.ca.gov; https://www.dds.ca.gov/FactsStats/CMF.cfm,,,2017-06-16T22:24:59.117392,2019-12-30T21:50:36.506606,Diseases and Conditions,,https://data.chhs.ca.gov/dataset/consumers-served-by-age-group-and-residence-type,consumers-served-by-age-group-and-residence-type
DDS Consumers Served by Residence Type and Regional Center,Living arrangement by regional center for the DDS population from January 2015 to present. Information reported by Regional Centers to DDS.,Department of Developmental Services,California Department of Developmental Services,jim.switzgable@dds.ca.gov; datax@dds.ca.gov,http://www.dds.ca.gov/FactsStats/,January 2015 to present,California,regional,English (EN),annually,Cells with fewer then 11 removed.,http://www.dds.ca.gov/FactsStats/,SAS,Terms of Use,Limitations,,,www.dds.ca.gov,,,2017-06-16T22:22:14.744242,2019-12-30T21:50:50.498557,Diseases and Conditions,,https://data.chhs.ca.gov/dataset/consumers-served-by-residence-type-and-regional-center,consumers-served-by-residence-type-and-regional-center
"DDS Consumers by Diagnosis, Early Start Consumers, and Regional Center","Department of Developmental Services (DDS) consumer population by diagnosis and regional center as reported on the Client Development Evaluation Report (CDER). Information reported by Regional Centers to DDS. It  is  common  for  a  consumer  to  have  a  combination  of  two  or  more  developmental  disabilities (Intellectual  Disability,  Autism,  Epilepsy,  Cerebral  Palsy,  or  5th Category) recorded on their CDER. Early Start consumers do not have CDERs, Early Start and total population counts derived from the Client Master File (CMF).",Department of Developmental Services,California Department of Developmental Services,jim.switzgable@dds.ca.gov; datax@dds.ca.gov,http://www.dds.ca.gov/FactsStats/,January 2015 to present,California,regional,English (EN),annually,Cells with fewer then 11 removed.,http://www.dds.ca.gov/FactsStats/; https://www.dds.ca.gov/CDER/; https://www.dds.ca.gov/FactsStats/CMF.cfm,SAS,Terms of Use,Limitations,,,www.dds.ca.gov,,,2017-06-16T22:22:16.978214,2019-12-30T21:50:56.419812,Diseases and Conditions,,https://data.chhs.ca.gov/dataset/consumers-with-intellectual-disability-indicator-by-regional-center,consumers-with-intellectual-disability-indicator-by-regional-center
Counts and Status of California Work Opportunity and Responsibility to Kids (CalWORKs) Applications,"This report includes data on the number of applications requested or restored and cases added during the month.  This dataset is a selected subset of the entire report, available on the California Department of Social Services, Research and Data Reports (RADR) website at http://www.cdss.ca.gov/research/.  CalWORKs is a welfare program that gives cash aid and services to eligible needy California families.  The program serves all 58 counties in the state and is operated locally by county welfare departments.  If a family has little or no cash and needs housing, food, utilities, clothing or medical care, they may be eligible to receive immediate short-term help.  Families that apply and qualify for ongoing assistance receive benefits each month to help pay for housing, food and other necessary expenses.  Monthly CalWORKs data is collected from the counties through submission of the CA 237CW CalWORKs Cash Grant Movement Report, which is used to report statistical information on CalWORKs caseload movement for Two Parent Families, Zero Parent Families, All Other Families, Temporary Assistance for Needy Families (TANF) Timed-Out Cases and Safety Net/Fleeing Felon/Long-Term Sanction Cases (SN/FF/LTS).

NOTE: The presence of ""-999"" in data cells indicates that the number of applications is too small to be displayed and has been suppressed in order to protect individual clients' confidentiality.",California Department of Social Services,California Department of Social Services,OpenData@dss.ca.gov,http://www.cdss.ca.gov/calworks/,July 2000 to current,State of California,county,English (EN),other,"The presence of ""-999"" in data cells indicates that data for this particular item cannot be displayed because the number of persons or households is too small and has been suppressed to protect individual confidentiality.",http://www.cdss.ca.gov/inforesources/Research-and-Data/CalWORKs-Data-Tables/CA-237-CW,CA 237CW CalWORKs Cash Grant Caseload Movement Report (http://www.cdss.ca.gov/research/PG385.htm) ,Terms of Use,Limitations,,,,,"Research Services Branch, California Department of Social Services.",2017-06-16T22:31:17.431147,2018-05-16T16:13:18.845095,Facilities and Services,calworks,http://chhs.ckan.opendata.production.opengov.zone/dataset/counts-and-status-of-california-work-opportunity-and-responsibility-to-kids-calworks-applications,counts-and-status-of-california-work-opportunity-and-responsibility-to-kids-calworks-applications
"Medi-Cal Certified Eligibles Tables, by County from 2010 to Most Recent Reportable Month","Medi-Cal certified eligible totals by county and demographic characteristics to inform the public, stakeholders, and researchers.",Department of Health Care Services,Enterprise Data and Information Management / Data Management and Analytics Division,opendata@dhcs.ca.gov,www.dhcs.ca.gov,Calendar Year 2010 to Most Recent Reportable Month,Statewide,county,English (EN),monthly,Public Aggregate Reporting for DHCS Business Reports at http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx ,https://www.dhcs.ca.gov/dataandstats/statistics/Pages/Medi-Cal-Certified-Eligibles.aspx,MIS/DSS Data Warehouse,Terms of Use,Limitations,"The presented eligible counts for the most recent month are considered preliminary and are subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the month’s end.","Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG). 

The eligibility data included in this document represent only certified eligible counts.  Certified eligibles are those beneficiaries deemed qualified for Medi-Cal by a valid eligibility determination, and who have enrolled into the program. This classification excludes beneficiaries who have not met a monthly share-of-cost obligation. Additionally, the presented eligibility counts exclude information related to applications received or any other eligible that may be in the process of becoming certified eligible",,,"State of California, Department of Health Care Services, Medi-Cal Certified Eligibles, by County and Dual Status",2017-06-16T22:09:35.905796,2020-06-11T17:09:55.513885,Healthcare,,https://data.chhs.ca.gov/dataset/county-medi-cal-certified-eligible-counts-by-county-and-dual-status-2013-through-2017,county-medi-cal-certified-eligible-counts-by-county-and-dual-status-2013-through-2017
Covered California Subsidized Qualified Health Plans (QHPs) Enrollees by Federal Poverty Level (FPL),"This dataset includes the number of eligible individuals selected and enrolled in a subsidized Covered California qualified health plans (QHPs) by Federal Poverty Level (FPL) range by reporting period. Covered California reported data is from the California Healthcare Eligibility, Enrollment and Retention System (CalHEERS) and includes eligible individuals who selected and enrolled in a QHP, and paid their first premium. This dataset is part of public reporting requirements set forth by the California Welfare and Institutions Code 14102.5.",Department of Health Care Services,Covered California,opendata@dhcs.ca.gov,https://aspe.hhs.gov/poverty-guidelines,2016 Quarter 1 to 2020 Quarter 2,California,statewide,English,quarterly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,,Terms of Use,Limitations,"Some presented eligible counts are considered preliminary and subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the reporting month’s end.",,,,,2017-10-12T22:22:55.414035,2020-09-08T17:32:48.936868,Healthcare,,https://data.chhs.ca.gov/dataset/covered-california-subsidized-qualified-health-plans-qhps-enrollees-by-federal-poverty-level-fpl,covered-california-subsidized-qualified-health-plans-qhps-enrollees-by-federal-poverty-level-fpl
Death Profiles by ZIP Code,"This dataset is for death of California residents, by Zip Code. The death counts represent the deaths to California residents, regardless of the place of death occurrence. A non-California resident who dies inside of California would not be included in the dataset. 

Death Profiles by ZIP Code are tabulations of the number of deaths to California residents by ZIP Code of decedent’s residence. Data are aggregated by decedent's sex, age, and cause of death and is obtained from registered death certificates for California residents who died in California and from registered in other states for California residents who died out of state. Deaths by these key indicators provide significantly more detail than countywide data in monitoring a community’s health status. Moreover, death data at the ZIP Code level, can be used to perform small area analysis to identify and target areas within cities and counties where public health programs may be needed. Age Categories: Decedent's age was stratified into the same categories commonly used by the National Center for Health Statistics (NCHS). The categories are: under one year of age; 1 to 4; 5 to 14; 15 to 24; 25 to 34; 35 to 44; 45 to 54; 55 to 64; 65 to 74; 75 to 84; 85 and over. http://www.cdph.ca.gov/data/statistics/Pages/DeathProfilesbyZIPCode.aspx

",California Department of Public Health,CDPH-CHSI-PHPRB-DARU,opendata@cdph.ca.gov,None,"Age: 2013 to current year available
Gender: 2012 to current year available",California,zip code,English (EN),annually,Not applicable for death data,https://archive.cdph.ca.gov/data/statistics/Pages/DeathProfilesbyZIPCode.aspx,California Electronic Death Registration System,Terms of Use,Limitations,,,,,"State of California, Department of Public Health, Death and Birth Records, 2017. ",2017-06-16T22:37:33.623722,2020-04-24T17:28:46.178023,Demographics,,https://data.chhs.ca.gov/dataset/death-by-zip-code-by-gender-2012-2013,death-by-zip-code-by-gender-2012-2013
Demographic Profile of Family PACT Clients Served by Fiscal Year,"This dataset contains demographics of clients served by the Family Planning, Access, Care, and Treatment (Family PACT) Program (https://www.dhcs.ca.gov/services/ofp/Pages/OfficeofFamilyPlanning.aspx) from July 1, 1997 through June 30, 2016. This dataset includes the following demographic variables: sex, age, race/ethnicity, language, and parity. Parity is defined as the number of live births reported at the time of enrollment or recertification for the Family PACT Program. Clients are recertified annually and are considered served only if they had a paid claim. Age, race/ethnicity, language, and parity variables were self-reported by clients at time of enrollment and recertification.",Department of Health Care Services,Office of Family Planning / Enterprise Data and Information Management / Data Management and Analytics Division,opendata@dhcs.ca.gov,http://www.familypact.org,1997 - 2015,Statewide ,statewide,English (EN),annually,,http://www.familypact.org,http://www.familypact.org/Providers/provider-resources/Forms/DHCS_4461_CEC_FINAL_3-14_ADA.pdf ,Terms of Use,Limitations,,Data for fiscal years 1997-2013 was extracted by UCSF under Contract #15-92030,,,"Bixby Center for Global Reproductive Health. University of California, San Francisco. Demographic Profile of Family PACT Clients Served, 1997 – 2013, Sacramento, CA. 2015 ",2017-06-16T22:32:06.907920,2020-06-01T16:56:11.380403,Healthcare,,https://data.chhs.ca.gov/dataset/demographic-profile-of-family-pact-clients-served-by-fiscal-year,demographic-profile-of-family-pact-clients-served-by-fiscal-year
"Dental Utilization Measures and Sealant Data by County, Ethnicity, & Age Calendar Year 2013 to 2018","This dataset shows use of Medi-Cal dental benefits by Medi-Cal members displayed by county, ethnicity, age groups and calendar year (2013, 2014, 2015, 2016, 2017 and 2018). This information consists of members receiving dental services in the following categories: Annual Dental Visit, Exams/Oral Health Evaluations, Use of Diagnostic Services, Use of Dental Treatment Services, Use of Preventive Services, Use of Restorative Services, Treatment/Prevention for Caries, and Use of Sealants. The Medi-Cal members were continuously enrolled in either Dental Managed Care or the Dental Fee-for-Service delivery system for at least 3 months during each measure year.",Department of Health Care Services,Medi-Cal Dental Services Division / Research Analytics Unit ,opendata@dhcs.ca.gov ,http://www.dhcs.ca.gov/services/Pages/DentalReports.aspx,2013-2018,Statewide,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,www.denti-cal.ca.gov,,Terms of Use,Limitations,Blank cells represent values that are not shown to protect the confidentiality of the individuals summarized in the data. Department of Health Care Services de-identifies data in accordance with the DHCS Data De-identification Guidelines (DDG).,,,,,2017-08-14T19:08:07.889315,2020-05-28T21:09:14.247033,Healthcare,,https://data.chhs.ca.gov/dataset/dental-utilization-measures-and-sealant-data-by-county-ethnicity-age-calendar-year-2013-to-2015,dental-utilization-measures-and-sealant-data-by-county-ethnicity-age-calendar-year-2013-to-2015
Department of Child Support Services Case Overview FFY 2015 - FFY 2017,"This data table provides the basic information for California child support cases, such as number of cases per county, the number of cases where the child is receiving public assistance, number of cases where the child formerly received public assistance, but no longer does, and the number of cases where the child has never received public assistance.  The data is sorted by counties and broken into Current Public Assistance, Former Public Assistance and Never Assisted case types.  The table also shows the percentage of each county's total caseload.",California Department of Child Support Services,Department of Child Support Services,DCSSOpenData@dcss.ca.gov,http://www.childsup.ca.gov/,FFY 2015 - FFY 2017,Statewide,county,English (EN),annually,,http://www.childsup.ca.gov/reports.aspx,,Terms of Use,Limitations,,,,,,2017-06-16T22:17:37.934913,2018-01-18T19:04:42.071596,Demographics,"california children,cases,child support,child support cases,counties,current,dcss,former,iv-a,iv-d cases,iv-d program,never,public assistance status,welfare",http://chhs.ckan.opendata.production.opengov.zone/dataset/department-of-child-support-services-case-overview-ffy-2015-ffy-2016,department-of-child-support-services-case-overview-ffy-2015-ffy-2016
Department of Child Support Services Children in Child Support Cases FFY 2015 - FFY 2018,This data table provides the number of children in the child support caseload.,California Department of Child Support Services,Department of Child Support Services,DCSSOpenData@dcss.ca.gov,http://www.childsup.ca.gov/,FFY 2015 - FFY 2018,Statewide,county,English (EN),annually,,http://www.childsup.ca.gov/reports.aspx,,Terms of Use,Limitations,,,,,Department of Child Support Services,2017-06-16T22:25:13.110631,2020-07-07T23:45:14.121773,Demographics,,https://data.chhs.ca.gov/dataset/department-of-child-support-services-children-in-child-support-cases-ffy-2015-ffy-2016,department-of-child-support-services-children-in-child-support-cases-ffy-2015-ffy-2016
Department of Child Support Services Distributed Collections By Assistance Type FFY 2015 - FFY 2018,"This data table provides distributed collection data for California child support cases.  The data is sorted by counties and categorized as Current or Former Public Assistance, or Never Assisted types, and consists of cases where the child is or has received public assistance (AFDC, TANF, Foster Care, or Medicaid only,) or are receiving child support services only without aid.",California Department of Child Support Services,Department of Child Support Services,DCSSOpenData@dcss.ca.gov,http://www.childsup.ca.gov/,FFY 2015 - FFY 2018,Statewide,county,English (EN),annually,,,,Terms of Use,Limitations,,,https://www.acf.hhs.gov/css,,Child Support Enforcement System (CSE),2017-06-16T22:25:01.923458,2020-07-07T23:40:18.631589,Demographics,,https://data.chhs.ca.gov/dataset/department-of-child-support-services-distributed-collections-by-assistance-type-ffy-2015-ffy-2016,department-of-child-support-services-distributed-collections-by-assistance-type-ffy-2015-ffy-2016
Department of Child Support Services Paternity Establishment FFY 2015 - FFY 2018,"This data table provides data on the number of children in the child support caseload who have had paternity established judicially in each county and the number of children, statewide, who have had paternity established via voluntary acknowledgement.",California Department of Child Support Services,California Department of Child Support Services,DCSSOpenData@dcss.ca.gov,http://www.childsup.ca.gov/,FFY 2015 - FFY 2018,Statewide,county,English (EN),annually,,http://www.childsup.ca.gov/reports.aspx,,Terms of Use,Limitations,,,,,Department of Child Support Services,2017-06-16T22:17:35.375922,2020-07-07T23:35:15.884903,Demographics,,https://data.chhs.ca.gov/dataset/department-of-child-support-services-paternity-establishment-ffy-2015-ffy-2016,department-of-child-support-services-paternity-establishment-ffy-2015-ffy-2016
Department of Rehabilitation Office Contact Information and Addresses with Languages Spoken,"This dataset is a list of Department of Rehabilitation (DOR)  offices and includes contact information, addresses, and languages spoken in each office.
Note: In addition to the languages listed, the DOR has various Bilingual language resources available in each office that allow us to serve members of the public who may speak a language other than English.",Department of Rehabilitation,Business Services,opendata@dor.ca.gov,http://www.dor.ca.gov/dor-locations/ ,2015,California ,other,English (EN),other,,,Manual,Terms of Use,Limitations,,,,,,2017-06-16T22:14:40.972404,2018-01-16T21:56:48.075031,Facilities and Services,"accessible technologies,department of rehabilitation,department of rehabilitation office locations,job retraining,physical rehabilitation,rehabilitation act,rehabilitation center,rehabilitation community,rehabilitation counseling,rehabilitation facility,rehabilitation program,rehabilitation specialist,rehabilitation training,retraining,vocational rehabilitation",http://chhs.ckan.opendata.production.opengov.zone/dataset/department-of-rehabilitation-office-contact-information-and-addresses-with-languages-spoken,department-of-rehabilitation-office-contact-information-and-addresses-with-languages-spoken
Forensic vs. Civil Commitment Population,"This data set shows the commitment type of patients admitted to the California State Hospitals during fiscal years 1995-2017.  The Department of State Hospitals (DSH) admits patients that are mandated for treatment by a criminal or civil court.  Patients in this data set that are sent to DSH through the criminal court system and have committed or have been accused of committing a crime linked to their mental illness are referred to as ""forensic"" commitments.  Patients in this data set committed to DSH from civil courts because they are a danger to themselves or others are referred to as ""civil"" commitments.",Department of State Hospitals,None,opendata@dsh.ca.gov,http://www.dsh.ca.gov,Fiscal Years 1995-2017,Statewide,statewide,English (EN),other,,,,Terms of Use,Limitations,,,,,,2017-06-16T22:39:56.412716,2018-09-11T22:30:48.607664,Healthcare,"civil,forensic,inpatient,legal classification,mental health,patient,state hospitals",http://chhs.ckan.opendata.production.opengov.zone/dataset/department-of-state-hospitals-forensic-vs-civil-commitment-population,department-of-state-hospitals-forensic-vs-civil-commitment-population
