#,Name,Description,Type,Street Address,City,State,Zip Code,Phone,Weblink,Full Address,Latitude,Longitude
69,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - LEAVES OF HEALING TABERNACLE,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,"9420 Lurline Ave., #D",Chatsworth,CA,91311,(818) 700-1374,https://www.211la.org/211search/more?site_id=1067440006,"9420 Lurline Ave., #D, Chatsworth, CA 91311",34.241929,-118.584019
70,AARON COMMUNITY CULTURAL CENTER,"The agency provides employment services and shelter for adults and emancipated youth age 16 and older, family life education for adolescents age 16 and older and adults, and volunteer opportunities for adults and youth age 12 and older who live in Los Angeles County. There are no geographic restrictions.",Physical,1010-B W. 108th St.,Los Angeles,CA,90044,(800) 527-4184,https://www.211la.org/211search/more?site_id=1068510001,"1010-B W. 108th St., Los Angeles, CA 90044",33.938011,-118.292446
71,FIRST BAPTIST CHURCH OF LONG BEACH,The church provides emergency food and personal goods for people who are in the Long Beach area. There are no geographic restrictions.,Physical,1000 Pine Ave.,Long Beach,CA,90813,(562) 432-8447,https://www.211la.org/211search/more?site_id=1068530001,"1000 Pine Ave., Long Beach, CA 90813",33.779819,-118.191997
72,HEART OF COMPASSION DISTRIBUTION,The agency provides emergency food for individuals and families in Los Angeles County. There are no geographic restrictions.,Physical,600 S. Maple Ave.,Montebello,CA,90640,(323) 727-7997,https://www.211la.org/211search/more?site_id=1069840001,"600 S. Maple Ave., Montebello, CA 90640",34.004458,-118.118616
73,ST LAWRENCE OF BRINDISI,"The agency provides emergency food for people in the Los Angeles zip code areas 90002 and 90059, including families who receive government assistance. Service is restricted to Los Angeles zip code 90002 and 90059 residents.",Physical,10122 Compton Ave.,Los Angeles,CA,90002,(323) 567-1439,https://www.211la.org/211search/more?site_id=1034069001,"10122 Compton Ave., Los Angeles, CA 90002",33.944618,-118.246051
74,MSGR WOOD COMMUNITY CENTER,The community center provides emergency food for low-income people who live in the Santa Monica zip code 90404. Geographic restrictions apply.,Physical,2013 Colorado Ave.,Santa Monica,CA,90404,(310) 829-4411,https://www.211la.org/211search/more?site_id=1009659001,"2013 Colorado Ave., Santa Monica, CA 90404",34.026225,-118.476852
75,CITY OF PARAMOUNT DEPARTMENT OF PARKS AND RECREATION - SENIOR SERVICES,"The program provides emergency food, senior nutrition programs and services for older adults who reside in Paramount and the surrounding areas.",Physical,14400 Paramount Blvd.,Paramount,CA,90723,(562) 220-2090,https://www.211la.org/211search/more?site_id=1008099001,"14400 Paramount Blvd., Paramount, CA 90723",33.902697,-118.159931
76,HATHAWAY-SYCAMORES - FAMILY RESOURCE CENTER LOS ANGELES,"The agency provides administrative services, family support services, foster care, out-of-home care for boys, and mental health services for families in Los Angeles. Age restrictions apply; DCFS Wraparound services are provided for SPAs 1,2, (Antelope and Santa Clarita valleys) SPA 3, (San Gabriel Valley) and SPA 7, (Southeast LA County); there are no geographic restrictions for other programs.",Physical,840 N. Ave. 66,Los Angeles,CA,90042,(323) 257-9600,https://www.211la.org/211search/more?site_id=1008399007,"840 N. Ave. 66, Los Angeles, CA 90042",34.12089,-118.1727
77,HOPE CHAPEL HERMOSA BEACH,"The agency provides emergency food, information and referral, and personal goods for people who live in the cities of Carson, El Segundo, Gardena, Harbor City, Harbor Gateway, Hawthorne, Hermosa Beach, Inglewood, Lawndale, Lomita, Manhattan Beach, Redondo Beach, Torrance and Wilmington residents. There are geographic restrictions.",Physical,2420 Pacific Coast Hwy.,Hermosa Beach,CA,90254,(310) 374-4673,https://www.211la.org/211search/more?site_id=1024109001,"2420 Pacific Coast Hwy., Hermosa Beach, CA 90254",33.871518,-118.394281
78,SALVATION ARMY CORPS FAMILY SERVICE CENTER - SAN PEDRO,"This agency provides adult day care, emergency food, holiday assistance, recreational programs and utility bill assistance for people who live in San Pedro, Harbor City, Lomita, South Carson and Wilmington. There are no geographic restrictions.",Physical,138 S. Bandini St.,San Pedro,CA,90731,(310) 832-7228,https://www.211la.org/211search/more?site_id=1015569001,"138 S. Bandini St., San Pedro, CA 90731",33.742672,-118.29854
79,SALVATION ARMY CORPS COMMUNITY CENTER - EAST LOS ANGELES TEMPLE,"The agency provides emergency food and utility bill assistance for people who live in the East Los Angeles area. Services are targeted, but not restricted, to East Los Angeles residents.",Physical,140 N. Eastman Ave.,Los Angeles,CA,90063,(323) 263-7577,https://www.211la.org/211search/more?site_id=1015859001,"140 N. Eastman Ave., Los Angeles, CA 90063",34.037121,-118.185623
80,FOOTHILL FAMILY SHELTER,The agency provides transitional shelter for homeless families with children and emergency food for people in Upland and the surrounding areas. Geographic restrictions apply for services.,Physical,"1501 W. 9th St., Ste. D",Upland,CA,91786,(909) 920-0453,https://www.211la.org/211search/more?site_id=1037289001,"1501 W. 9th St., Ste. D, Upland, CA 91786",34.096378,-117.679776
81,"AIDS FOOD STORE , THE",The agency provides emergency food to people who have HIV or AIDS and live in the Greater Long Beach area. There are no geographic restrictions.,Physical,3935 E. 10th St.,Long Beach,CA,90804,(562) 434-3425,https://www.211la.org/211search/more?site_id=1039939001,"3935 E. 10th St., Long Beach, CA 90804",33.779225,-118.146143
82,OUR SAVIOUR CENTER,"This center provides emergency food, health services, motel vouchers and recreational programs for low-income people who live in El Monte and South El Monte. Services are restricted to El Monte and South El Monte residents.",Physical,4368 Santa Anita Ave.,El Monte,CA,91731,(626) 579-2190,https://www.211la.org/211search/more?site_id=1032009001,"4368 Santa Anita Ave., El Monte, CA 91731",34.085669,-118.029273
83,HOPE-NET - FIRST CHURCH OF THE NAZARENE,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,3401 W. 3rd St.,Los Angeles,CA,90020,(213) 385-6345,https://www.211la.org/211search/more?site_id=1032059003,"3401 W. 3rd St., Los Angeles, CA 90020",34.06919,-118.28962
84,HOPE-NET - WILSHIRE PRESBYTERIAN CHURCH,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,309 S. Oxford St.,Los Angeles,CA,90020,(213) 387-5387,https://www.211la.org/211search/more?site_id=1032059007,"309 S. Oxford St., Los Angeles, CA 90020",34.06858,-118.30803
85,HOPE-NET - FIRST BAPTIST CHURCH,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,760 S. Westmoreland Ave.,Los Angeles,CA,90005,(213) 384-2151,https://www.211la.org/211search/more?site_id=1032059011,"760 S. Westmoreland Ave., Los Angeles, CA 90005",34.05811,-118.28889
86,HOPE-NET - SILVERLAKE COMMUNITY CHURCH,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,2930 Hyperion Ave.,Los Angeles,CA,90027,(323) 663-3151,https://www.211la.org/211search/more?site_id=1032059016,"2930 Hyperion Ave., Los Angeles, CA 90027",34.109878,-118.27057
87,SALVATION ARMY - STILLMAN SAWYER FAMILY CENTER,"The agency provides emergency food, holiday assistance and personal goods for families, couples and individuals who live in the South Bay area of Los Angeles County. Services are restricted to Carson, Harbor City, Lomita, Torrance, and Wilmington.",Physical,820 Lomita Blvd.,Harbor City,CA,90710,(310) 835-1986,https://www.211la.org/211search/more?site_id=1032499001,"820 Lomita Blvd., Harbor City, CA 90710",33.797917,-118.290714
88,FAMILY RESCUE CENTER,"This agency provides emergency food, personal goods and volunteer opportunities for people who live in the West San Fernando Valley. Service is restricted to residents of zip codes 90290, 91301, 91302, 91303, 91304, 91306, 91307, 91311, 91324, 91335, 91356, 91364, 91367 and 91371.",Physical,22103 Vanowen St.,Canoga Park,CA,91303,(818) 884-7587,https://www.211la.org/211search/more?site_id=1034089002,"22103 Vanowen St., Canoga Park, CA 91303",34.193922,-118.608566
89,ST FRANCES OF ROME FOOD BANK,"The agency provides emergency food and holiday assistance for people in Azusa, including people who are undocumented and who receive government assistance. Services are restricted to Azusa residents.",Physical,501 E. Foothill Blvd.,Azusa,CA,91702,(626) 969-1829,https://www.211la.org/211search/more?site_id=1034319001,"501 E. Foothill Blvd., Azusa, CA 91702",34.133596,-117.902425
90,SOVA FOOD PANTRY AND RESOURCE CENTER - VALLEY,"The administrative office provides information on Sova emergency food programs in West Los Angeles and San Fernando Valley. Services are targeted, but not restricted to West Los Angeles and San Fernando Valley residents. There are geographic restrictions.",Physical,16439 Vanowen St.,Van Nuys,CA,91406,(818) 988-7682,https://www.211la.org/211search/more?site_id=1034469004,"16439 Vanowen St., Van Nuys, CA 91406",34.194285,-118.491601
91,ST MARTIN DE PORRES OUTREACH CENTER,"The agency provides emergency food for low-income residents of zip codes 91744, 91745, 91746, 91748 and 91790. Geographic restrictions apply for service.",Physical,1345 Turnbull Canyon Rd.,Hacienda Heights,CA,91745,(626) 330-2269,https://www.211la.org/211search/more?site_id=1034479001,"1345 Turnbull Canyon Rd., Hacienda Heights, CA 91745",34.010603,-117.979765
92,ANGELICA LUTHERAN CHURCH,"The church provides cultural enrichment, emergency food, health services and holiday assistance for people who live in Los Angeles zip codes 90006, 90015 and 90057. Geographic restrictions apply for most services.",Physical,1345 S. Burlington Ave.,Los Angeles,CA,90006,(213) 382-6378,https://www.211la.org/211search/more?site_id=1034539001,"1345 S. Burlington Ave., Los Angeles, CA 90006",34.04439,-118.27981
93,TRINITY BAPTIST CHURCH,The agency provides emergency food and personal goods for people who are in Los Angeles County. There are no geographic restrictions.,Physical,2040 W. Jefferson Blvd.,Los Angeles,CA,90018,(323) 735-0044,https://www.211la.org/211search/more?site_id=1034549001,"2040 W. Jefferson Blvd., Los Angeles, CA 90018",34.02542,-118.31636
94,ST ATHANASIUS AND ST PAUL,The church provides emergency food for people who live in Los Angeles. Geographic restrictions apply.,Physical,840 Echo Park Ave.,Los Angeles,CA,90026,(213) 482-2040,https://www.211la.org/211search/more?site_id=1034819001,"840 Echo Park Ave., Los Angeles, CA 90026",34.073261,-118.259383
95,WEST ANGELES COMMUNITY DEVELOPMENT CORPORATION - COMMUNITY ASSISTANCE DEPARTMENT,"The agency provides emergency food, employment services, holiday assistance, housing services, information and referral and transportation and utility bill assistance for low-income people who live in South Central Los Angeles. Services are restricted to SPA 6 and surrounding areas.",Physical,3045 Crenshaw Blvd.,Los Angeles,CA,90016,(323) 733-8300,https://www.211la.org/211search/more?site_id=1038419002,"3045 Crenshaw Blvd., Los Angeles, CA 90016",34.026291,-118.335293
96,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM,The program provides emergency food services and nutrition information for low-income persons who have AIDS or HIV illness in Los Angeles County. There are no geographic restrictions.,Physical,611 S. Kingsley Dr.,Los Angeles,CA,90005,(213) 201-1433,https://www.211la.org/211search/more?site_id=1030729001,"611 S. Kingsley Dr., Los Angeles, CA 90005",34.06295,-118.30303
97,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - NORTH HOLLYWOOD,The program provides emergency food services and nutrition information for low-income persons who have AIDS or HIV illness in Los Angeles County. There are no geographic restrictions.,Physical,7336 Bellaire Ave.,North Hollywood,CA,91605,(213) 201-1413,https://www.211la.org/211search/more?site_id=1030729003,"7336 Bellaire Ave., North Hollywood, CA 91605",34.204699,-118.409291
98,"DREAM CENTER, THE","The center provides emergency food, residential treatment for substance use disorders and services for veterans for individuals and families in the central Los Angeles area. Geographic restrictions apply for some services.",Physical,2301 Bellevue Ave.,Los Angeles,CA,90026,(213) 273-7000,https://www.211la.org/211search/more?site_id=1055789001,"2301 Bellevue Ave., Los Angeles, CA 90026",34.074172,-118.269311
99,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - THE HOUSE,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,18515 Sherman Way,Reseda,CA,91335,(818) 631-2741,https://www.211la.org/211search/more?site_id=1067440003,"18515 Sherman Way, Reseda, CA 91335",34.201255,-118.53663
100,HOPE-NET - BLESSED SACRAMENT,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,6657 Sunset Blvd.,Los Angeles,CA,90028,(323) 874-5577,https://www.211la.org/211search/more?site_id=1067690017,"6657 Sunset Blvd., Los Angeles, CA 90028",34.098128,-118.335028
101,KENNEDY AUSTIN FOUNDATION,"The agency provides emergency food, personal goods, self-help groups and youth services for people who live in Pomona, La Verne, Claremont and San Gabriel Valley. There are no geographic restrictions.",Physical,"1460 E. Holt Ave., Ste. 182",Pomona,CA,91767,(909) 620-0912,https://www.211la.org/211search/more?site_id=1069340001,"1460 E. Holt Ave., Ste. 182, Pomona, CA 91767",34.06145,-117.720739
102,SOWING SEEDS FOR LIFE,The agency provides emergency food for people in Los Angeles County. There are no geographic restrictions.,Physical,1350 Arrow Hwy.,La Verne,CA,91750,(909) 293-7735,https://www.211la.org/211search/more?site_id=1069090001,"1350 Arrow Hwy., La Verne, CA 91750",34.100366,-117.785848
103,SALVATION ARMY - SOUTHERN CALIFORNIA DIVISIONAL HEADQUARTERS - LOS ANGELES FAMILY SERVICES OFFICE - ON HOLD,"This office oversees the programs, services, and operations of Salvation Army sites throughout Southern California. Locally, this office oversees 51 Salvation Army Corps Community Centers, seven Service Extension offices, three Silvercrest Residences for older adults, and a number of other Salvation Army programs located throughout Los Angeles County and surrounding counties. Direct services provided by this office include Disaster Services and Volunteer Opportunities. PROGRAMS INCLUDE Hospitality House - Santa Ana Salvation Army - Alegria Salvation Army - His House Salvation Army Bell Shelter Salvation Army Bellflower Corps Salvation Army Corps Community Center - Burbank Salvation Army Corps Community Center - Compton Salvation Army Corps Community Center - East Los Angeles Temple Salvation Army Corps Community Center - Glendale Salvation Army Corps Community Center - Hollywood Salvation Army Corps Community Center - Inglewood Salvation Army Corps Community Center - Lancaster Salvation Army Corps Community Center - Long Beach Salvation Army Corps Community Center - Pomona Salvation Army Corps Community Center - Redondo Beach Salvation Army Corps Community Center - San Fernando Valley Salvation Army Corps Community Center - San Pedro Salvation Army Corps Community Center - Santa Monica Salvation Army Corps Community Center - Whittier Salvation Army Family Service Office - Los Angeles Salvation Army Los Angeles Day Care Center Salvation Army Los Angeles Korean Corps Salvation Army Missing Persons Department Salvation Army Red Shield Youth and Community Center Salvation Army San Gabriel Corps Salvation Army Service Extension Office - Newhall Salvation Army Thrift Stores Salvation Army Westwood Transitional Village",Physical,906 S. Francisco St.,Los Angeles,CA,90015,(213) 896-9178,https://www.211la.org/211search/more?site_id=1000529003,"906 S. Francisco St., Los Angeles, CA 90015",34.046859,-118.264616
104,FRIENDS IN DEED,"The agency provides emergency food and homeless assistance for homeless women, women who are at-risk of being homeless and low-income families. Geographic restrictions apply for some services.",Physical,444 E. Washington Blvd.,Pasadena,CA,91104,(626) 797-6072,https://www.211la.org/211search/more?site_id=1000599001,"444 E. Washington Blvd., Pasadena, CA 91104",34.168673,-118.141331
105,SALVATION ARMY CORPS COMMUNITY CENTER - COMPTON,"The agency provides emergency food, holiday assistance, recreational programs, transportation, and utility bill assistance for families, couples and individuals who live in Compton and Lynwood zip codes 90220, 90221, 90222 and 90262. The agency also offers social and recreational activities for youth and adults; and services for older adults. Advocacy and information and referral services are available for adults who receive other services provided by this agency.",Physical,736 E. Compton Blvd.,Compton,CA,90221,(310) 639-0362,https://www.211la.org/211search/more?site_id=1007579001,"736 E. Compton Blvd., Compton, CA 90221",33.895636,-118.215217
106,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - CENTRO MARAVILLA SERVICE CENTER",The center provides emergency food and information and referral for residents of East Los Angeles zip code 90022. The center also acts as a cooling center during summer months. Geographic and other restrictions apply for some services.,Physical,4716 E. Cesar E. Chavez Ave.,Los Angeles,CA,90022,(323) 260-2804,https://www.211la.org/211search/more?site_id=1007719001,"4716 E. Cesar E. Chavez Ave., Los Angeles, CA 90022",34.040439,-118.164394
107,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - FLORENCE - FIRESTONE SERVICE CENTER","The center provides CalFresh, emergency food, services for older adults and volunteer opportunities in the Florence/Firestone area. The center also houses and coordinates other programs and acts as a cooling center during hot summer months. There are age and geographic restrictions for some services.",Physical,7807 S. Compton Ave.,Los Angeles,CA,90001,(323) 586-6502,https://www.211la.org/211search/more?site_id=1008109001,"7807 S. Compton Ave., Los Angeles, CA 90001",33.967955,-118.247805
108,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - EAST RANCHO DOMINGUEZ SERVICE CENTER","This center provides community services, emergency food, nutrition programs, services for older adults and utility bill assistance to people who live in Compton, Paramount and the East Rancho Dominguez area. Services are targeted, but not restricted, to Compton, Paramount and East Rancho Dominquez area residents. There are no geographic restrictions.",Physical,15116 S. Atlantic Ave.,Compton,CA,90221,(310) 603-7401,https://www.211la.org/211search/more?site_id=1008499001,"15116 S. Atlantic Ave., Compton, CA 90221",33.895363,-118.193117
109,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - ASIAN SERVICE CENTER","The center provides emergency food and information and referral to people who live in Los Angeles County. The agency also acts as a cooling center during hot summer months. Services are targeted, but not restricted, to older adults and Asians/Pacific Islanders. There are no geographic restrictions.",Physical,14112 S. Kingsley Dr.,Gardena,CA,90249,(310) 217-7300,https://www.211la.org/211search/more?site_id=1009199001,"14112 S. Kingsley Dr., Gardena, CA 90249",33.90287,-118.30389
110,CATHOLIC CHARITIES OF LOS ANGELES - LOAVES AND FISHES II,"This program provides emergency food, personal goods and volunteer opportunities. Services are targeted to CalWORKs participants and low-income people, including people who are homeless. Services are restricted to Van Nuys zip codes 91343, 91401, 91402, 91403, 91405, 91406, 91411, 91423, 91436, 91316, 91605 and 91607; North Hollywood; Panorama City; Sherman Oaks; and Encino residents.",Physical,7309 Van Nuys Blvd.,Van Nuys,CA,91405,(818) 997-0943,https://www.211la.org/211search/more?site_id=1009749001,"7309 Van Nuys Blvd., Van Nuys, CA 91405",34.20334,-118.448996
111,HOUSE OF YAHWEH,"The agency provides emergency food, homeless support services, personal goods and thrift shops for individuals and families who are in crisis and who live in the South Bay and Southwest areas of Los Angeles County. Geographic restrictions apply for some services.",Physical,4046 Marine Ave.,Lawndale,CA,90260,(310) 675-6412,https://www.211la.org/211search/more?site_id=1004809001,"4046 Marine Ave., Lawndale, CA 90260",33.894504,-118.345047
112,SALVATION ARMY SOUTHEAST COMMUNITIES CORP - HUNTINGTON PARK,"This agency provides a companionship program, emergency food, holiday assistance, homeless support services, personal enrichment and utility bill assistance for people who live in Bell, Bell Gardens, Cudahy, Downey, Huntington Park, Maywood, South Gate, Vernon and Walnut Park. Information and referral services are also available for adults who receive other services provided by this agency. It also serves as one of the five intake sites for the Bell shelter (see separate entry for details). Geographic restrictions apply for some services.",Physical,2965 E. Gage Ave.,Huntington Park,CA,90255,(323) 587-4221,https://www.211la.org/211search/more?site_id=1005099001,"2965 E. Gage Ave., Huntington Park, CA 90255",33.981338,-118.216662
113,CITY OF BALDWIN PARK DEPARTMENT OF RECREATION AND COMMUNITY SERVICES - TERI G MUSE FAMILY SERVICE CENTER,"The Baldwin Park Recreation and Community Services Department provides CalFresh, cooling centers, counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specialized services for senior citizens and for youth. See the separate entry for Baldwin Park Senior Citizens Center. Services are restricted to Baldwin Park residents.",Physical,14305 Morgan St.,Baldwin Park,CA,91706,(626) 813-5270,https://www.211la.org/211search/more?site_id=1021409002,"14305 Morgan St., Baldwin Park, CA 91706",34.087951,-117.962508
114,ST JOSEPH CENTER,"The agency provides advocacy, child care, emergency food, employment services, homeless support services, mental health services, personal goods, services for older adults and services to veterans to assist low-income and homeless individuals and families in the West Los Angeles area. The agency primarily serves people who live in Palms, Mar Vista, Venice, Santa Monica, Culver City, Inglewood, or Los Angeles zip codes 90025, 90034, 90036, 90064, and 90066. Some of the programs have extended boundaries.",Physical,204 Hampton Dr.,Venice,CA,90291,(310) 396-6468,https://www.211la.org/211search/more?site_id=1012479001,"204 Hampton Dr., Venice, CA 90291",33.998086,-118.478322
115,TOBERMAN NEIGHBORHOOD CENTER,"The agency provides advocacy, counseling services, emergency food, holiday assistance, personal goods, recreational programs, substance use disorder services, volunteer opportunities and youth services. Services are restricted to San Pedro residents.",Physical,131 N. Grand Ave.,San Pedro,CA,90731,(310) 832-1145,https://www.211la.org/211search/more?site_id=1015589001,"131 N. Grand Ave., San Pedro, CA 90731",33.7439,-118.29025
116,ALL PEOPLES CHRISTIAN CENTER,"The center provides counseling services, emergency food, personal goods, volunteer opportunities for people ages 55 and older and youth programs for people who live in the South Central area of Los Angeles. Geographic restrictions apply for some services.",Physical,822 E. 20th St.,Los Angeles,CA,90011,(213) 747-6357,https://www.211la.org/211search/more?site_id=1019949001,"822 E. 20th St., Los Angeles, CA 90011",34.02607,-118.25684
117,HOPE-NET - ST JOHN'S EPISCOPAL,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,514 W. Adams Blvd.,Los Angeles,CA,90007,(213) 747-6285,https://www.211la.org/211search/more?site_id=1032059014,"514 W. Adams Blvd., Los Angeles, CA 90007",34.02767,-118.27529
118,NORTH HOLLYWOOD INTERFAITH FOOD PANTRY,"The agency provides emergency food and information and referral for people who live primarily in North Hollywood, Studio City, Sun Valley and surrounding areas. There are no geographic restrictions.",Physical,4390 Colfax Ave.,North Hollywood,CA,91604,(818) 760-3575,https://www.211la.org/211search/more?site_id=1032349001,"4390 Colfax Ave., North Hollywood, CA 91604",34.149969,-118.387554
119,SANTA CLARITA VALLEY FOOD PANTRY,"The agency provides emergency food for low-income families in the Santa Clarita Valley, including people who are homeless or homebound. Services are restricted to Santa Clarita Valley residents.",Physical,24133 Railroad Ave.,Newhall,CA,91321,(661) 255-9078,https://www.211la.org/211search/more?site_id=1033729001,"24133 Railroad Ave., Newhall, CA 91321",34.376488,-118.525257
120,CENTRO SANTO TOMAS,"The center provides emergency food for people within parish boundaries; zip codes 90006, parts of 90007 and 90019 including people who are homeless or who are undocumented. Additionally, a holiday assistance program is available for emergency food recipients. Limited medical examination services are also provided during the food program hours. Services are restricted to parish boundaries, including zip codes 90006, parts of 90007 and 90019.",Physical,2727 W. Pico Blvd.,Los Angeles,CA,90006,(323) 737-3325,https://www.211la.org/211search/more?site_id=1033799001,"2727 W. Pico Blvd., Los Angeles, CA 90006",34.04739,-118.29828
121,ST ELISABETH CATHOLIC CHURCH - SERVICE CENTER DISTRIBUTION SITE,This agency provides emergency food and personal goods for people who live in Van Nuys. Services are restricted to Van Nuys residents.,Physical,6640 Cedros Ave.,Van Nuys,CA,91405,(818) 779-1756,https://www.211la.org/211search/more?site_id=1033819002,"6640 Cedros Ave., Van Nuys, CA 91405",34.191841,-118.452856
122,MOTHER OF SORROWS CATHOLIC CHURCH,"The church provides emergency food for people of all ages who live in Los Angeles zip code 90003, including people who are undocumented. Services are restricted to Los Angeles zip code 90003 residents.",Physical,114 W. 87th St.,Los Angeles,CA,90003,(323) 758-7697,https://www.211la.org/211search/more?site_id=1033969001,"114 W. 87th St., Los Angeles, CA 90003",33.95854,-118.27451
123,WEST VALLEY FOOD PANTRY,"This agency provides emergency food, personal goods and volunteer opportunities for people who live in the West San Fernando Valley. Service is restricted to residents of zip codes 90290, 91301, 91302, 91303, 91304, 91306, 91307, 91311, 91324, 91335, 91356, 91364, 91367 and 91371.",Physical,5700 Rudnick Ave.,Woodland Hills,CA,91367,(818) 346-5554,https://www.211la.org/211search/more?site_id=1034089001,"5700 Rudnick Ave., Woodland Hills, CA 91367",34.173881,-118.612121
124,PALMDALE 7TH DAY ADVENTIST CHURCH COMMUNITY SERVICES,"The agency provides clothing and emergency food for people who live in the Antelope Valley including Lake Los Angeles, Little Rock, Lancaster and Palmdale. Services are targeted, but not restricted, to Antelope Valley residents.",Physical,1758 E. Avenue R,Palmdale,CA,93550,(661) 947-8496,https://www.211la.org/211search/more?site_id=1034759001,"1758 E. Avenue R, Palmdale, CA 93550",34.408383,-118.123597
125,LOS ANGELES REGIONAL FOOD BANK,The agency operates a food bank and food rescue program which receives and distributes food and delivers it to partner charities who are in Los Angeles County. There are no geographic restrictions.,Physical,1734 E. 41st St.,Los Angeles,CA,90058,(323) 234-3030,https://www.211la.org/211search/more?site_id=1027049001,"1734 E. 41st St., Los Angeles, CA 90058",34.00788,-118.24202
126,JOY COMMUNITY OUTREACH TO END HOMELESSNESS,"The agency provides emergency food, holiday assistance and personal goods for people of all ages who live in Los Angeles County. There are no geographic restrictions.",Physical,1938 S. Western Ave.,Los Angeles,CA,90018,(323) 939-5808,https://www.211la.org/211search/more?site_id=1043549001,"1938 S. Western Ave., Los Angeles, CA 90018",34.03879,-118.30883
127,NORTH VALLEY CARING SERVICES INC,"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills. There are no geographic restrictions.",Physical,15453 Rayen St.,North Hills,CA,91343,(818) 891-0481,https://www.211la.org/211search/more?site_id=1043779001,"15453 Rayen St., North Hills, CA 91343",34.232022,-118.469299
128,WAYSIDE UNITED METHODIST CHURCH,"The agency provides emergency food for low-income families and individuals who live in Harbor City, Lomita, San Pedro, Torrance and Wilmington, including people who are undocumented. There are no geographic restrictions.",Physical,25904 Cayuga Ave.,Lomita,CA,90717,(310) 326-4541,https://www.211la.org/211search/more?site_id=1054699001,"25904 Cayuga Ave., Lomita, CA 90717",33.787858,-118.309293
129,PEACE LUTHERAN CHURCH,The agency provides emergency food and food rescue programs for people in the Lake View Terrace area. There are no geographic restrictions.,Physical,11690 Fenton Ave.,Lake View Terrace,CA,91342,(818) 899-3950,https://www.211la.org/211search/more?site_id=1057220001,"11690 Fenton Ave., Lake View Terrace, CA 91342",34.282477,-118.391701
130,ACTION FOOD PANTRY,The organization provides emergency food for people in the East San Gabriel Valley. There are no geographic restrictions.,Physical,17880 E. Covina Blvd.,Covina,CA,91722,(626) 319-0554,https://www.211la.org/211search/more?site_id=1059590001,"17880 E. Covina Blvd., Covina, CA 91722",34.099089,-117.900356
131,COMMUNITY OUTREACH CENTER,The agency provides emergency food for people in Los Angeles County. There are no geographic restrictions.,Physical,11350 Saticoy St.,Sun Valley,CA,91352,(818) 759-0616,https://www.211la.org/211search/more?site_id=1065930001,"11350 Saticoy St., Sun Valley, CA 91352",34.208299,-118.377791
132,KHALSA CARE FOUNDATION,"The foundation provides emergency food for individuals of all ages, including those that are undocumented, in the San Fernando Valley. There are no geographic restrictions.",Physical,9989 Laurel Canyon Blvd.,Pacoima,CA,91331,No Telephone,https://www.211la.org/211search/more?site_id=1066120001,"9989 Laurel Canyon Blvd., Pacoima, CA 91331",34.251209,-118.42447
133,HELP ME HELP YOU - STEVENSON ELEMENTARY SCHOOL,"The agency provides education services, emergency food, health insurance and money management for individuals and families who live in the Los Angeles County area. There are no geographic restrictions.",Physical,515 Lime Ave.,Long Beach,CA,90802,(562) 612-5001,https://www.211la.org/211search/more?site_id=1066630025,"515 Lime Ave., Long Beach, CA 90802",33.773654,-118.184529
